ACCELEROMETER X (m/s²);ACCELEROMETER Y (m/s²);ACCELEROMETER Z (m/s²);GYROSCOPE X (rad/s);GYROSCOPE Y (rad/s);GYROSCOPE Z (rad/s);LIGHT ( lux);MAGNETIC FIELD X (μT);MAGNETIC FIELD Y (μT);MAGNETIC FIELD Z (μT);ORIENTATION X (°);ORIENTATION Y (°);ORIENTATION Z (°);SOUND LEVEL (dB);LOCATION Latitude : ;LOCATION Longitude : ;LOCATION Altitude ( m);LOCATION Speed ( m/s);LOCATION Accuracy ( m);Temperature ( °C);Level (%);Voltage (Volt);Time since start in ms ; 
-5.2445; 7.1213; 3.5072; -0.0128; -0.0171; 0.0224; 5.8208; 31.55; -34.77; -7.08; 270.47; -49.88; 54.94; 36.044; 59.93677; 10.509521; 249.1; 0.31275; 5.0; 27.0; 59.0; 3.718; 3; 
-5.2445; 7.1213; 3.5072; -0.0277; -0.0096; 0.0181; 5.8208; 31.85; -34.87; -7.38; 274.15; -50.09; 55.89; 36.044; 59.93677; 10.509521; 249.1; 0.31275; 5.0; 27.0; 59.0; 3.718; 104; 
-5.2792; 7.1445; 3.5488; -0.0277; -0.0096; 0.0181; 5.8208; 31.85; -34.87; -7.38; 274.15; -50.09; 55.89; 36.044; 59.93677; 10.509521; 249.1; 0.31275; 5.0; 27.0; 59.0; 3.718; 204; 
-5.2792; 7.1445; 3.5488; -0.0053; -0.0128; 0.0171; 5.8208; 31.85; -34.87; -7.38; 274.15; -50.09; 55.89; 40.398; 59.93677; 10.509521; 249.1; 0.31275; 5.0; 27.0; 59.0; 3.718; 304; 
-5.2448; 7.0002; 3.671; -0.0053; -0.0128; 0.0171; 5.8208; 31.95; -34.87; -6.47; 274.15; -50.09; 55.89; 40.398; 59.93677; 10.509521; 249.1; 0.31275; 5.0; 27.0; 59.0; 3.718; 433; 
-5.2448; 7.0002; 3.671; 0.0203; -0.0075; 0.016; 5.8208; 31.95; -34.87; -6.47; 274.15; -50.09; 55.89; 40.398; 59.93677; 10.509521; 249.1; 0.31275; 5.0; 27.0; 59.0; 3.718; 533; 
-5.3089; 7.025; 3.6385; 0.0203; -0.0075; 0.016; 5.8208; 31.85; -34.57; -8.1; 274.51; -49.72; 55.29; 36.975; 59.93677; 10.509521; 249.1; 0.31275; 5.0; 27.0; 59.0; 3.718; 647; 
-5.3089; 7.025; 3.6385; 0.0043; -0.0181; 0.0053; 5.8208; 31.85; -34.57; -8.1; 274.51; -49.72; 55.29; 36.975; 59.93677; 10.509521; 249.1; 0.31275; 5.0; 27.0; 59.0; 3.718; 747; 
-5.1656; 7.4524; 3.1029; 0.0043; -0.0181; 0.0053; 5.8208; 31.85; -34.57; -8.1; 274.51; -49.72; 55.29; 36.975; 59.93677; 10.509521; 249.1; 0.31275; 5.0; 27.0; 59.0; 3.718; 865; 
-5.1656; 7.4524; 3.1029; -0.0139; 0.2036; 0.2164; 5.8208; 30.75; -36.17; -2.91; 274.51; -49.72; 55.29; 61.933; 59.93677; 10.509521; 249.1; 0.31275; 5.0; 27.0; 59.0; 3.718; 965; 
-5.5672; 7.2535; 2.6675; -0.0139; 0.2036; 0.2164; 5.8208; 30.75; -36.17; -2.91; 274.51; -49.72; 55.29; 61.933; 59.93677; 10.509521; 249.1; 0.31275; 5.0; 27.0; 59.0; 3.718; 1066; 
-5.5672; 7.2535; 2.6675; 0.0373; 0.0533; 0.0085; 5.8208; 31.55; -36.07; -1.59; 260.91; -49.39; 54.93; 61.933; 59.93677; 10.509521; 249.1; 0.31275; 5.0; 27.0; 59.0; 3.718; 1179; 
-5.5223; 7.3232; 2.5717; 0.0373; 0.0533; 0.0085; 5.8208; 31.55; -36.07; -1.59; 260.91; -49.39; 54.93; 61.933; 59.93677; 10.509521; 249.1; 0.31275; 5.0; 27.0; 59.0; 3.718; 1279; 
-5.5223; 7.3232; 2.5717; 0.0416; 0.0426; 0.0266; 5.8894; 31.55; -36.07; -1.59; 260.91; -49.39; 54.93; 52.305; 59.93677; 10.509521; 249.1; 0.31275; 5.0; 27.0; 59.0; 3.718; 1382; 
-6.1022; 7.2827; 2.5444; 0.0416; 0.0426; 0.0266; 5.8894; 31.35; -36.47; -0.17; 260.91; -49.39; 54.93; 52.305; 59.93677; 10.509521; 249.1; 0.31275; 5.0; 27.0; 59.0; 3.718; 1483; 
-6.1022; 7.2827; 2.5444; -0.0917; -0.1268; -0.0789; 5.8894; 31.35; -36.47; -0.17; 260.91; -49.39; 54.93; 52.305; 59.93677; 10.509521; 249.1; 0.31275; 5.0; 27.0; 59.0; 3.718; 1583; 
-5.6347; 7.4421; 2.2744; -0.0917; -0.1268; -0.0789; 5.8894; 31.35; -36.47; -0.17; 260.91; -49.39; 54.93; 74.951; 59.93677; 10.509521; 249.1; 0.31275; 5.0; 27.0; 59.0; 3.718; 1694; 
